campaign,market,media_type,budget_usd,actual_usd,variance_usd,variance_pct,impressions,conversions,revenue_attributed,roi,cpm,status,quarter
VIP Client Retreat Venice,China,Digital,345888.82,353922.23,8033.4,2.3,10355403,106,814382.05,130.1,34.18,Completed,Q2 2025
VIP Client Retreat Venice,China,Print,661254.52,690241.62,28987.1,4.4,59869717,255,2192494.12,217.6,11.53,Completed,Q1 2025
VIP Client Retreat Venice,China,Events,171319.33,168574.91,-2744.42,-1.6,5124469,89,383702.55,127.6,32.9,Completed,Q4 2025
Clash de Aurelle Digital Push,China,PR,180770.21,193408.38,12638.17,7.0,13410600,78,475647.9,145.9,14.42,Completed,Q1 2025
Clash de Aurelle Digital Push,China,Influencer,59396.87,67724.5,8327.63,14.0,1783535,15,138702.52,104.8,37.97,Completed,Q4 2025
Tank Must Relaunch,China,Digital,744982.49,753227.46,8244.97,1.1,26607590,291,2012458.82,167.2,28.31,Completed,Q2 2025
Tank Must Relaunch,China,Influencer,487282.29,563619.36,76337.07,15.7,17900777,337,1967015.44,249.0,31.49,Planned,Q4 2025
Tank Must Relaunch,China,OOH,479100.68,481334.42,2233.74,0.5,15436844,550,1034105.22,114.8,31.18,Completed,Q1 2025
Tank Must Relaunch,China,CRM,415769.93,396890.58,-18879.35,-4.5,10521343,116,1220757.03,207.6,37.72,Active,Q2 2025
Boutique Mansion Renovation,China,CRM,175185.74,160002.86,-15182.88,-8.7,4638902,116,534908.51,234.3,34.49,Completed,Q2 2025
Boutique Mansion Renovation,China,Influencer,175414.1,194785.51,19371.41,11.0,12362054,73,735600.08,277.6,15.76,Completed,Q4 2025
Santos de Aurelle Roadshow,China,PR,173126.05,199135.7,26009.65,15.0,7091828,35,348321.6,74.9,28.08,Active,Q4 2025
Santos de Aurelle Roadshow,China,Events,562420.71,635661.72,73241.01,13.0,45920655,158,1673592.6,163.3,13.84,Completed,Q2 2025
CNY Collection Campaign,Japan,Events,781069.69,880349.7,99280.01,12.7,20241505,600,3388135.89,284.9,43.49,Completed,Q4 2025
CNY Collection Campaign,Japan,PR,118052.17,133235.17,15183.0,12.9,5094381,27,277263.81,108.1,26.15,Completed,Q3 2025
High Jewellery Genesis Launch,Japan,Events,791359.59,779400.87,-11958.73,-1.5,49719921,129,1370853.45,75.9,15.68,Completed,Q3 2025
High Jewellery Genesis Launch,Japan,CRM,727537.51,775724.15,48186.64,6.6,27119355,270,2046959.18,163.9,28.6,Completed,Q3 2025
Boutique Mansion Renovation,Japan,Events,378146.66,349735.61,-28411.05,-7.5,8261872,174,1538763.98,340.0,42.33,Completed,Q1 2025
Boutique Mansion Renovation,Japan,PR,715428.47,633241.3,-82187.17,-11.5,57683850,112,1017244.74,60.6,10.98,Completed,Q2 2025
Boutique Mansion Renovation,Japan,Print,192520.15,186055.63,-6464.51,-3.4,8566763,103,528046.01,183.8,21.72,Completed,Q2 2025
Boutique Mansion Renovation,Japan,Influencer,625167.5,661845.07,36677.57,5.9,30030600,684,3102063.24,368.7,22.04,Completed,Q3 2025
Tank Must Relaunch,Japan,CRM,644946.01,712413.79,67467.79,10.5,60253125,581,2445507.82,243.3,11.82,Completed,Q2 2025
Tank Must Relaunch,Japan,Print,600077.77,547711.89,-52365.88,-8.7,25581004,260,735400.83,34.3,21.41,Completed,Q1 2025
Tank Must Relaunch,Japan,Influencer,387226.71,456452.31,69225.59,17.9,23190038,177,1159837.07,154.1,19.68,Planned,Q1 2025
Clash de Aurelle Digital Push,Japan,Digital,826971.59,956916.49,129944.91,15.7,36395430,170,1523823.68,59.2,26.29,Completed,Q4 2025
Clash de Aurelle Digital Push,Japan,Influencer,679787.35,731092.57,51305.22,7.5,16285488,390,2773909.72,279.4,44.89,Completed,Q1 2025
Clash de Aurelle Digital Push,Japan,CRM,794671.79,906001.28,111329.49,14.0,21350847,720,1842241.24,103.3,42.43,Completed,Q1 2025
Clash de Aurelle Digital Push,Japan,PR,404951.89,469235.57,64283.68,15.9,17476460,63,727303.56,55.0,26.85,Completed,Q1 2025
VIP Client Retreat Venice,Japan,Events,218728.05,198078.86,-20649.19,-9.4,4701488,70,533788.83,169.5,42.13,Completed,Q4 2025
VIP Client Retreat Venice,Japan,Influencer,338571.6,336349.69,-2221.91,-0.7,8819081,206,885806.87,163.4,38.14,Completed,Q2 2025
Boutique Mansion Renovation,South Korea,Print,365366.92,365659.37,292.45,0.1,12354770,67,640874.32,75.3,29.6,Completed,Q2 2025
Boutique Mansion Renovation,South Korea,Digital,405094.86,406302.25,1207.4,0.3,11982465,444,1226899.97,202.0,33.91,Active,Q4 2025
Boutique Mansion Renovation,South Korea,OOH,845549.4,827166.64,-18382.77,-2.2,54150385,224,1425263.29,72.3,15.28,Planned,Q1 2025
Boutique Mansion Renovation,South Korea,CRM,540962.41,553290.49,12328.08,2.3,44923800,294,2597920.49,369.5,12.32,Active,Q3 2025
LOVE & Trinity Icons,South Korea,CRM,595482.49,532978.14,-62504.35,-10.5,55366658,137,1643811.15,208.4,9.63,Completed,Q2 2025
LOVE & Trinity Icons,South Korea,Events,81345.84,85927.86,4582.02,5.6,4006701,58,270371.54,214.6,21.45,Completed,Q2 2025
CNY Collection Campaign,South Korea,Print,711773.66,833166.81,121393.15,17.1,64976408,186,1397635.09,67.7,12.82,Completed,Q2 2025
CNY Collection Campaign,South Korea,Digital,83530.55,80924.95,-2605.6,-3.1,3764861,34,224927.87,177.9,21.49,Planned,Q1 2025
Clash de Aurelle Digital Push,South Korea,OOH,39497.88,45135.91,5638.03,14.3,5342463,55,112216.56,148.6,8.45,Completed,Q3 2025
Clash de Aurelle Digital Push,South Korea,PR,816613.51,815970.87,-642.63,-0.1,24354901,198,1438611.33,76.3,33.5,Completed,Q3 2025
Clash de Aurelle Digital Push,South Korea,CRM,525793.07,506285.58,-19507.49,-3.7,28719515,342,2270474.8,348.5,17.63,Planned,Q3 2025
Clash de Aurelle Digital Push,South Korea,Events,487570.85,556109.18,68538.33,14.1,17064562,227,1815358.16,226.4,32.59,Completed,Q2 2025
High Jewellery Genesis Launch,South Korea,OOH,533349.62,623867.25,90517.63,17.0,62700536,378,768966.78,23.3,9.95,Planned,Q3 2025
High Jewellery Genesis Launch,South Korea,PR,256098.12,246861.97,-9236.15,-3.6,12728571,91,750286.05,203.9,19.39,Active,Q4 2025
High Jewellery Genesis Launch,South Korea,Influencer,242692.99,226731.13,-15961.86,-6.6,10853420,84,912526.2,302.5,20.89,Completed,Q3 2025
Clash de Aurelle Digital Push,Australia,Influencer,246680.46,254023.53,7343.07,3.0,22655682,69,468811.02,84.6,11.21,Active,Q4 2025
Clash de Aurelle Digital Push,Australia,Events,716585.06,796320.81,79735.75,11.1,49644921,421,2799524.36,251.6,16.04,Completed,Q4 2025
Clash de Aurelle Digital Push,Australia,CRM,268388.03,264078.45,-4309.59,-1.6,9219048,253,1215863.95,360.4,28.64,Completed,Q4 2025
Santos de Aurelle Roadshow,Australia,PR,212637.52,211134.32,-1503.2,-0.7,26095169,32,336393.87,59.3,8.09,Completed,Q4 2025
Santos de Aurelle Roadshow,Australia,OOH,716548.47,794145.82,77597.35,10.8,30463095,210,2309836.73,190.9,26.07,Completed,Q4 2025
Santos de Aurelle Roadshow,Australia,Print,768234.2,898812.85,130578.65,17.0,27887914,702,2179670.32,142.5,32.23,Completed,Q3 2025
LOVE & Trinity Icons,Australia,Influencer,48092.89,44734.34,-3358.55,-7.0,2229534,9,93865.42,109.8,20.06,Active,Q1 2025
LOVE & Trinity Icons,Australia,Events,616277.36,686822.59,70545.23,11.4,61175757,278,1339911.24,95.1,11.23,Completed,Q3 2025
LOVE & Trinity Icons,Australia,PR,761160.94,852845.31,91684.37,12.0,84191316,306,2548317.73,198.8,10.13,Completed,Q1 2025
LOVE & Trinity Icons,Australia,OOH,145817.16,165729.82,19912.66,13.7,9701292,64,277108.33,67.2,17.08,Completed,Q2 2025
CNY Collection Campaign,Australia,PR,171974.73,171683.33,-291.4,-0.2,5143950,83,516787.51,201.0,33.38,Completed,Q1 2025
CNY Collection Campaign,Australia,Digital,306294.3,277829.29,-28465.01,-9.3,8241272,50,550511.79,98.1,33.71,Completed,Q4 2025
CNY Collection Campaign,Australia,CRM,416403.07,480910.39,64507.32,15.5,39113511,143,805367.2,67.5,12.3,Completed,Q2 2025
Panthère Aesthetics Tour,Australia,Events,313792.01,359287.21,45495.19,14.5,8319130,68,697007.7,94.0,43.19,Completed,Q1 2025
Panthère Aesthetics Tour,Australia,OOH,804302.79,861363.25,57060.45,7.1,99233818,323,2451465.19,184.6,8.68,Completed,Q4 2025
Panthère Aesthetics Tour,Australia,Print,680703.6,766085.83,85382.23,12.5,18639464,167,1158539.91,51.2,41.1,Completed,Q1 2025
Panthère Aesthetics Tour,Australia,Digital,480653.02,486070.1,5417.08,1.1,48624323,92,998839.47,105.5,10.0,Completed,Q2 2025
Boutique Mansion Renovation,Australia,CRM,168715.63,175080.28,6364.64,3.8,10314979,70,482531.08,175.6,16.97,Completed,Q3 2025
Boutique Mansion Renovation,Australia,Digital,240743.15,218423.45,-22319.7,-9.3,6843563,87,428437.41,96.1,31.92,Completed,Q2 2025
Boutique Mansion Renovation,Australia,Influencer,786933.23,898430.45,111497.23,14.2,24031910,294,2756434.14,206.8,37.38,Completed,Q2 2025
Holiday Gifting Season,Australia,Print,247688.86,242203.51,-5485.35,-2.2,19829766,174,325366.17,34.3,12.21,Completed,Q1 2025
Holiday Gifting Season,Australia,Influencer,594531.73,596728.68,2196.95,0.4,41997339,395,2643184.71,342.9,14.21,Completed,Q2 2025
Holiday Gifting Season,Australia,OOH,382695.04,386987.92,4292.88,1.1,33529656,191,1219824.63,215.2,11.54,Planned,Q2 2025
Tank Must Relaunch,Australia,PR,535317.41,542449.7,7132.29,1.3,12746983,167,1409469.13,159.8,42.56,Completed,Q2 2025
Tank Must Relaunch,Australia,OOH,546705.09,633591.97,86886.88,15.9,24544298,212,1785509.08,181.8,25.81,Completed,Q4 2025
Boutique Mansion Renovation,Singapore,Digital,529253.68,511531.04,-17722.65,-3.3,11874188,66,656564.34,28.4,43.08,Active,Q4 2025
Boutique Mansion Renovation,Singapore,PR,229895.55,231804.99,1909.44,0.8,12245213,118,636030.77,174.4,18.93,Completed,Q3 2025
Boutique Mansion Renovation,Singapore,Print,767243.37,761381.45,-5861.93,-0.8,43506014,611,2140516.76,181.1,17.5,Completed,Q2 2025
Boutique Mansion Renovation,Singapore,Events,296974.07,309916.18,12942.11,4.4,16158898,278,1019391.97,228.9,19.18,Active,Q3 2025
CNY Collection Campaign,Singapore,CRM,664189.7,595510.94,-68678.75,-10.3,18132286,803,2577518.03,332.8,32.84,Completed,Q4 2025
CNY Collection Campaign,Singapore,PR,199434.85,230094.91,30660.06,15.4,10798370,99,362513.88,57.5,21.31,Active,Q3 2025
CNY Collection Campaign,Singapore,Print,825913.37,790803.64,-35109.74,-4.3,21410061,516,2495442.9,215.6,36.94,Completed,Q4 2025
CNY Collection Campaign,Singapore,OOH,668568.98,635309.31,-33259.67,-5.0,15420773,225,1384540.56,117.9,41.2,Completed,Q4 2025
High Jewellery Genesis Launch,Singapore,Digital,196605.49,212201.88,15596.39,7.9,5569137,105,643802.63,203.4,38.1,Completed,Q3 2025
High Jewellery Genesis Launch,Singapore,PR,264810.6,252660.75,-12149.85,-4.6,11046158,97,447387.18,77.1,22.87,Completed,Q3 2025
High Jewellery Genesis Launch,Singapore,Influencer,617163.77,703756.44,86592.68,14.0,32714579,399,2459084.59,249.4,21.51,Completed,Q3 2025
VIP Client Retreat Venice,Singapore,Digital,679338.63,756048.74,76710.11,11.3,45886301,299,1358181.18,79.6,16.48,Planned,Q2 2025
VIP Client Retreat Venice,Singapore,Events,187023.0,179178.23,-7844.77,-4.2,11861166,38,330240.05,84.3,15.11,Planned,Q3 2025
VIP Client Retreat Venice,Singapore,OOH,583317.75,665016.16,81698.41,14.0,45154409,244,1037370.78,56.0,14.73,Completed,Q4 2025
VIP Client Retreat Venice,Singapore,PR,178728.51,173639.4,-5089.11,-2.8,4824409,154,430363.44,147.8,35.99,Completed,Q2 2025
Clash de Aurelle Digital Push,Singapore,Print,356001.33,384935.77,28934.44,8.1,11060268,102,743533.22,93.2,34.8,Planned,Q1 2025
Clash de Aurelle Digital Push,Singapore,Digital,578373.52,545988.52,-32385.0,-5.6,39731774,95,1108792.97,103.1,13.74,Completed,Q3 2025
Clash de Aurelle Digital Push,Singapore,CRM,516598.95,557990.15,41391.19,8.0,65067889,207,1846117.62,230.9,8.58,Active,Q4 2025
Clash de Aurelle Digital Push,Singapore,Influencer,663276.81,592061.54,-71215.27,-10.7,63300307,257,1252140.06,111.5,9.35,Completed,Q3 2025
LOVE & Trinity Icons,Hong Kong,PR,286662.63,336005.52,49342.89,17.2,13574936,69,663000.94,97.3,24.75,Completed,Q1 2025
LOVE & Trinity Icons,Hong Kong,Influencer,384816.05,380541.42,-4274.63,-1.1,20191794,199,853493.8,124.3,18.85,Completed,Q4 2025
LOVE & Trinity Icons,Hong Kong,OOH,584782.98,676089.33,91306.36,15.6,16205853,134,1153092.98,70.6,41.72,Completed,Q3 2025
Tank Must Relaunch,Hong Kong,Print,625568.56,558658.19,-66910.36,-10.7,17197507,272,1473091.75,163.7,32.48,Completed,Q3 2025
Tank Must Relaunch,Hong Kong,CRM,805671.64,725778.6,-79893.04,-9.9,16138809,225,1481279.87,104.1,44.97,Completed,Q1 2025
Tank Must Relaunch,Hong Kong,PR,574412.36,656122.61,81710.25,14.2,66296757,112,1171640.94,78.6,9.9,Active,Q1 2025
Clash de Aurelle Digital Push,Hong Kong,PR,69488.51,80285.44,10796.93,15.5,2050310,38,254490.57,217.0,39.16,Active,Q3 2025
Clash de Aurelle Digital Push,Hong Kong,OOH,614817.99,631236.87,16418.88,2.7,25743717,308,1126965.67,78.5,24.52,Planned,Q2 2025
VIP Client Retreat Venice,Hong Kong,Influencer,304523.82,354173.36,49649.54,16.3,33456235,286,618708.32,74.7,10.59,Completed,Q4 2025
VIP Client Retreat Venice,Hong Kong,OOH,345707.19,307771.49,-37935.7,-11.0,23251297,66,619065.95,101.1,13.24,Completed,Q4 2025
VIP Client Retreat Venice,Hong Kong,CRM,146513.38,158401.6,11888.22,8.1,5336144,47,515658.9,225.5,29.68,Completed,Q4 2025
CNY Collection Campaign,Hong Kong,CRM,80789.93,87424.47,6634.54,8.2,2039304,39,324650.46,271.3,42.87,Completed,Q4 2025
CNY Collection Campaign,Hong Kong,PR,721012.45,665431.37,-55581.08,-7.7,22672450,152,889754.61,33.7,29.35,Completed,Q1 2025
CNY Collection Campaign,Hong Kong,Influencer,616134.39,589084.55,-27049.84,-4.4,33739076,237,1567093.65,166.0,17.46,Completed,Q3 2025
CNY Collection Campaign,Hong Kong,Events,698695.45,632381.27,-66314.18,-9.5,41533307,302,2729825.91,331.7,15.23,Completed,Q4 2025
High Jewellery Genesis Launch,Hong Kong,OOH,345970.98,317987.18,-27983.8,-8.1,9835904,69,711908.94,123.9,32.33,Active,Q2 2025
High Jewellery Genesis Launch,Hong Kong,CRM,138636.78,146661.27,8024.49,5.8,8807311,32,311732.58,112.6,16.65,Completed,Q3 2025
High Jewellery Genesis Launch,Hong Kong,Print,802664.86,946090.36,143425.5,17.9,28802672,133,1499431.74,58.5,32.85,Completed,Q4 2025
High Jewellery Genesis Launch,Hong Kong,Influencer,688919.59,677967.59,-10951.99,-1.6,20498938,235,2427367.47,258.0,33.07,Completed,Q4 2025
Panthère Aesthetics Tour,Thailand,CRM,786354.66,856094.86,69740.2,8.9,50228814,1467,4099654.12,378.9,17.04,Active,Q2 2025
Panthère Aesthetics Tour,Thailand,Print,664404.21,760047.4,95643.19,14.4,33448804,172,1853421.56,143.9,22.72,Active,Q1 2025
Panthère Aesthetics Tour,Thailand,Influencer,243783.51,227497.41,-16286.1,-6.7,11121700,125,871245.3,283.0,20.46,Completed,Q4 2025
Panthère Aesthetics Tour,Thailand,PR,112073.35,129856.5,17783.15,15.9,11875824,27,266010.34,104.8,10.93,Completed,Q4 2025
High Jewellery Genesis Launch,Thailand,CRM,290062.52,338949.74,48887.22,16.9,19367446,234,1442513.83,325.6,17.5,Active,Q2 2025
High Jewellery Genesis Launch,Thailand,Digital,490663.21,532916.85,42253.64,8.6,11888286,92,1009443.93,89.4,44.83,Active,Q4 2025
High Jewellery Genesis Launch,Thailand,Influencer,802458.51,911729.32,109270.8,13.6,31798251,411,3404334.2,273.4,28.67,Completed,Q2 2025
High Jewellery Genesis Launch,Thailand,OOH,663073.93,753362.4,90288.47,13.6,45135792,164,976765.82,29.7,16.69,Completed,Q1 2025
Clash de Aurelle Digital Push,Thailand,Digital,120302.1,112009.04,-8293.05,-6.9,3478193,115,224870.03,100.8,32.2,Completed,Q4 2025
Clash de Aurelle Digital Push,Thailand,Influencer,58595.43,64130.26,5534.83,9.4,1598369,29,173498.03,170.5,40.12,Active,Q3 2025
Clash de Aurelle Digital Push,Thailand,Events,730555.29,816844.94,86289.66,11.8,33765747,427,3761023.16,360.4,24.19,Completed,Q1 2025
Santos de Aurelle Roadshow,Thailand,Digital,184770.62,199167.13,14396.51,7.8,16227109,26,250956.69,26.0,12.27,Active,Q1 2025
Santos de Aurelle Roadshow,Thailand,PR,240628.36,276148.9,35520.54,14.8,7235617,106,423884.32,53.5,38.17,Completed,Q4 2025
Santos de Aurelle Roadshow,Thailand,CRM,280956.38,251594.34,-29362.04,-10.5,28185346,49,566135.84,125.0,8.93,Active,Q4 2025
Santos de Aurelle Roadshow,Thailand,OOH,58144.44,61096.59,2952.15,5.1,4403765,14,119485.98,95.6,13.87,Planned,Q4 2025
Boutique Mansion Renovation,Thailand,Events,225129.64,262660.74,37531.09,16.7,13886881,363,1065601.5,305.7,18.91,Completed,Q1 2025
Boutique Mansion Renovation,Thailand,Digital,615048.48,692496.91,77448.43,12.6,43715162,219,1406514.78,103.1,15.84,Completed,Q2 2025
Boutique Mansion Renovation,Thailand,CRM,744446.42,850816.43,106370.01,14.3,23567729,598,3568239.86,319.4,36.1,Completed,Q1 2025
VIP Client Retreat Venice,India,Influencer,95998.68,107999.32,12000.64,12.5,3515566,111,499190.24,362.2,30.72,Completed,Q1 2025
VIP Client Retreat Venice,India,Events,791364.65,801815.88,10451.23,1.3,22393068,273,1950534.28,143.3,35.81,Completed,Q4 2025
LOVE & Trinity Icons,India,Influencer,723004.23,746618.99,23614.76,3.3,18830843,374,3177099.41,325.5,39.65,Active,Q4 2025
LOVE & Trinity Icons,India,Digital,449377.59,444484.65,-4892.94,-1.1,11079119,234,1262361.58,184.0,40.12,Active,Q4 2025
LOVE & Trinity Icons,India,PR,486977.92,484479.22,-2498.71,-0.5,14269640,149,717498.23,48.1,33.95,Completed,Q3 2025
High Jewellery Genesis Launch,India,CRM,709400.1,835870.55,126470.44,17.8,26218825,433,2068762.7,147.5,31.88,Completed,Q2 2025
High Jewellery Genesis Launch,India,Influencer,233035.69,233872.74,837.05,0.4,5743122,139,733521.97,213.6,40.72,Active,Q2 2025
CNY Collection Campaign,India,PR,359281.41,399548.81,40267.4,11.2,10366235,62,618358.52,54.8,38.54,Active,Q4 2025
CNY Collection Campaign,India,Digital,334975.43,393688.98,58713.55,17.5,10328407,225,786931.17,99.9,38.12,Completed,Q4 2025
CNY Collection Campaign,India,Influencer,100857.01,106785.78,5928.76,5.9,4224170,54,474100.41,344.0,25.28,Active,Q3 2025
Holiday Gifting Season,India,PR,264584.98,255869.73,-8715.25,-3.3,10011728,64,641881.74,150.9,25.56,Planned,Q4 2025
Holiday Gifting Season,India,CRM,671062.02,782283.78,111221.75,16.6,19890873,124,1476226.73,88.7,39.33,Active,Q1 2025
Holiday Gifting Season,India,OOH,183180.79,170622.71,-12558.08,-6.9,5334179,30,285630.58,67.4,31.99,Planned,Q4 2025
Holiday Gifting Season,India,Print,431503.46,485302.98,53799.52,12.5,18199386,266,836659.03,72.4,26.67,Active,Q4 2025
Boutique Mansion Renovation,Taiwan,Digital,135033.5,121603.21,-13430.29,-9.9,6140997,183,351077.31,188.7,19.8,Completed,Q1 2025
Boutique Mansion Renovation,Taiwan,CRM,159075.52,160078.21,1002.69,0.6,7195574,226,610482.41,281.4,22.25,Completed,Q1 2025
High Jewellery Genesis Launch,Taiwan,Print,400961.95,400244.97,-716.99,-0.2,9825700,99,1040153.83,159.9,40.73,Active,Q2 2025
High Jewellery Genesis Launch,Taiwan,Influencer,670123.89,714522.67,44398.78,6.6,23826487,323,2148786.28,200.7,29.99,Completed,Q4 2025
Clash de Aurelle Digital Push,Taiwan,PR,61436.93,64404.95,2968.03,4.8,1499214,20,155132.86,140.9,42.96,Completed,Q2 2025
Clash de Aurelle Digital Push,Taiwan,Digital,309251.35,297413.19,-11838.16,-3.8,6844398,110,920484.87,209.5,43.45,Completed,Q3 2025
Panthère Aesthetics Tour,Taiwan,PR,352065.1,322730.96,-29334.14,-8.3,9011599,84,621937.11,92.7,35.81,Completed,Q4 2025
Panthère Aesthetics Tour,Taiwan,Influencer,772709.59,803724.61,31015.02,4.0,17860742,192,2044074.93,154.3,45.0,Completed,Q1 2025
VIP Client Retreat Venice,Taiwan,CRM,436690.63,495097.9,58407.27,13.4,15354992,243,2216467.57,347.7,32.24,Completed,Q1 2025
VIP Client Retreat Venice,Taiwan,Influencer,404785.19,406664.45,1879.26,0.5,26698003,404,1799000.24,342.4,15.23,Active,Q3 2025
VIP Client Retreat Venice,Taiwan,Print,832385.56,889790.31,57404.75,6.9,36459293,113,1232189.95,38.5,24.41,Completed,Q4 2025
VIP Client Retreat Venice,Taiwan,Digital,290475.39,266818.3,-23657.09,-8.1,25144418,377,846678.16,217.3,10.61,Planned,Q1 2025
LOVE & Trinity Icons,Taiwan,Influencer,191851.44,185033.62,-6817.82,-3.6,4691201,91,804674.28,334.9,39.44,Planned,Q3 2025
LOVE & Trinity Icons,Taiwan,Print,320777.06,311836.78,-8940.28,-2.8,28071109,122,496972.84,59.4,11.11,Completed,Q4 2025
LOVE & Trinity Icons,Taiwan,CRM,121819.45,115048.09,-6771.36,-5.6,4786954,92,448113.22,289.5,24.03,Completed,Q4 2025
LOVE & Trinity Icons,Taiwan,OOH,841362.35,923971.51,82609.16,9.8,33160539,319,2718835.29,194.3,27.86,Completed,Q1 2025
CNY Collection Campaign,Taiwan,Influencer,437489.54,478359.52,40869.98,9.3,10745870,339,1936674.81,304.9,44.52,Completed,Q3 2025
CNY Collection Campaign,Taiwan,Digital,267954.61,278767.72,10813.11,4.0,11550266,161,704894.49,152.9,24.14,Completed,Q4 2025
CNY Collection Campaign,Taiwan,Events,415679.34,489335.09,73655.75,17.7,22007811,347,1765710.16,260.8,22.23,Completed,Q2 2025
CNY Collection Campaign,Taiwan,PR,97362.99,104210.87,6847.88,7.0,2327792,24,164893.12,58.2,44.77,Completed,Q3 2025
Holiday Gifting Season,Taiwan,Digital,329358.4,345432.68,16074.28,4.9,19078868,52,603073.14,74.6,18.11,Completed,Q2 2025
Holiday Gifting Season,Taiwan,CRM,441702.34,475422.57,33720.24,7.6,34500499,327,1154141.09,142.8,13.78,Completed,Q3 2025
Holiday Gifting Season,Taiwan,PR,739813.05,782048.5,42235.45,5.7,18872472,190,2021734.89,158.5,41.44,Completed,Q3 2025
LOVE & Trinity Icons,Macau,Print,193456.36,194759.73,1303.37,0.7,5736503,20,234818.74,20.6,33.95,Completed,Q4 2025
LOVE & Trinity Icons,Macau,OOH,482606.87,450859.71,-31747.16,-6.6,14272755,85,992894.86,120.2,31.59,Completed,Q2 2025
CNY Collection Campaign,Macau,OOH,353979.28,347802.3,-6176.98,-1.7,10352983,104,706282.03,103.1,33.59,Completed,Q2 2025
CNY Collection Campaign,Macau,Influencer,389927.43,392868.5,2941.06,0.8,27139895,348,944147.8,140.3,14.48,Active,Q4 2025
Santos de Aurelle Roadshow,Macau,CRM,849870.19,825051.08,-24819.11,-2.9,45842497,315,3029725.56,267.2,18.0,Completed,Q4 2025
Santos de Aurelle Roadshow,Macau,Influencer,634898.69,607163.96,-27734.73,-4.4,17403876,240,2344248.24,286.1,34.89,Completed,Q4 2025
Santos de Aurelle Roadshow,Macau,Digital,559029.84,590174.84,31145.0,5.6,50266022,155,1670386.25,183.0,11.74,Completed,Q3 2025
Santos de Aurelle Roadshow,Macau,PR,36859.45,38746.69,1887.24,5.1,2644585,9,92705.3,139.3,14.65,Completed,Q4 2025
Panthère Aesthetics Tour,Macau,CRM,177359.15,166967.64,-10391.51,-5.9,11417047,117,419930.14,151.5,14.62,Completed,Q2 2025
Panthère Aesthetics Tour,Macau,Influencer,509538.85,574112.29,64573.44,12.7,41578708,184,1323751.65,130.6,13.81,Active,Q2 2025
Panthère Aesthetics Tour,Macau,Events,836401.67,850840.49,14438.82,1.7,72157072,406,2051431.95,141.1,11.79,Completed,Q4 2025
Boutique Mansion Renovation,Macau,Events,549792.63,622337.16,72544.54,13.2,49270093,216,2052679.18,229.8,12.63,Completed,Q2 2025
Boutique Mansion Renovation,Macau,OOH,49169.12,47718.34,-1450.79,-3.0,2581891,9,77718.38,62.9,18.48,Completed,Q1 2025
Boutique Mansion Renovation,Macau,CRM,372974.36,374834.9,1860.54,0.5,13513246,249,999481.94,166.6,27.74,Active,Q2 2025
Boutique Mansion Renovation,Macau,Digital,726985.29,787910.65,60925.36,8.4,28112125,510,2402459.85,204.9,28.03,Planned,Q4 2025
Tank Must Relaunch,Macau,Digital,240454.28,269278.37,28824.1,12.0,6927387,206,570911.54,112.0,38.87,Completed,Q2 2025
Tank Must Relaunch,Macau,OOH,532667.96,573820.21,41152.24,7.7,35150061,98,930008.09,62.1,16.32,Active,Q1 2025
Tank Must Relaunch,Macau,PR,60952.74,59110.81,-1841.93,-3.0,1662774,19,177353.25,200.0,35.55,Completed,Q2 2025
Tank Must Relaunch,Macau,Print,610934.63,565418.93,-45515.7,-7.5,12648600,206,1424376.56,151.9,44.7,Completed,Q2 2025
Clash de Aurelle Digital Push,Macau,OOH,108919.41,120384.31,11464.9,10.5,7274955,119,226221.9,87.9,16.55,Completed,Q3 2025
Clash de Aurelle Digital Push,Macau,PR,810438.41,724194.06,-86244.35,-10.6,42387852,402,1565569.93,116.2,17.08,Active,Q1 2025
Holiday Gifting Season,Macau,PR,757836.8,791848.72,34011.92,4.5,22805086,110,1167705.64,47.5,34.72,Completed,Q2 2025
Holiday Gifting Season,Macau,OOH,660071.58,678327.3,18255.72,2.8,19118917,94,1026650.01,51.4,35.48,Completed,Q3 2025
Holiday Gifting Season,Macau,Influencer,656833.91,762377.28,105543.37,16.1,41643807,454,3551669.38,365.9,18.31,Planned,Q4 2025
Holiday Gifting Season,Macau,Digital,354590.35,392352.55,37762.2,10.6,14358839,112,1079297.24,175.1,27.32,Active,Q3 2025
